Difficulty,Animal,CardNumber,DiceNumber,Area,Height,SolutionCount,Blocks
Easy,Warthog,35,8,7,2,2,"[Yellow gate, Blue flash, Red small hook]"
Easy,Warthog,36,1,6,2,1,"[Yellow hello, Blue v, Green L]"
Easy,Warthog,36,3,6,2,1,"[Blue big hook, Blue v, Green L]"
Easy,Warthog,36,5,7,2,2,"[Yellow hello, Blue flash, Red small hook]"
Easy,Warthog,36,8,7,2,6,"[Blue big hook, Red stool, Red small hook]"
Difficult,Elephant,1,1,8,2,38,"[Blue lighter, Blue v, Red small hook, Green L]"
Difficult,Elephant,1,2,8,2,2,"[Blue v, Red small hook, Red big hook, Red flash]"
Difficult,Elephant,1,3,8,2,6,"[Blue big hook, Blue v, Green T, Green L]"
Difficult,Elephant,1,4,8,2,4,"[Blue v, Green flash, Green T, Green L]"
Difficult,Elephant,1,5,8,2,4,"[Blue big hook, Blue v, Red flash, Green L]"
Difficult,Elephant,1,6,8,2,3,"[Yellow small hook, Blue v, Green big hook, Green L]"
Difficult,Elephant,1,7,8,2,3,"[Yellow big hook, Blue v, Red small hook, Green T]"
Difficult,Elephant,1,8,8,2,8,"[Blue flash, Blue v, Red small hook, Green L]"
Difficult,Elephant,1,9,8,2,9,"[Blue v, Red small hook, Red big hook, Green L]"
Difficult,Elephant,1,10,8,2,1,"[Yellow small hook, Blue v, Red big hook, Red flash]"
Difficult,Elephant,2,1,9,2,2,"[Yellow small hook, Red small hook, Green flash, Green big hook]"
Difficult,Elephant,2,2,9,2,4,"[Blue flash, Blue v, Red stool, Green flash]"
Difficult,Elephant,2,3,9,2,1,"[Yellow small hook, Red flash, Green flash, Green big hook]"
Difficult,Elephant,2,4,9,2,1,"[Yellow small hook, Red flash, Green flash, Green big hook]"
Difficult,Elephant,2,5,9,2,1,"[Red stool, Red small hook, Green big hook, Green L]"
Difficult,Elephant,2,6,8,2,4,"[Yellow small hook, Blue big hook, Blue v, Red small hook]"
Difficult,Elephant,2,7,8,2,2,"[Blue v, Red small hook, Red big hook, Green L]"
Difficult,Elephant,2,8,8,2,7,"[Yellow small hook, Blue flash, Blue v, Green L]"
Difficult,Elephant,2,9,8,2,5,"[Blue big hook, Blue v, Red flash, Green L]"
Difficult,Elephant,2,10,8,2,4,"[Yellow small hook, Blue v, Red small hook, Green big hook]"
Difficult,Elephant,3,1,8,2,2,"[Blue flash, Blue v, Red flash, Green L]"
Difficult,Elephant,3,2,8,2,4,"[Blue v, Red small hook, Green flash, Green T]"
Difficult,Elephant,3,3,8,2,2,"[Yellow hello, Blue v, Green T, Green L]"
Difficult,Elephant,3,4,8,2,2,"[Blue big hook, Blue v, Red flash, Green L]"
Difficult,Elephant,3,5,8,2,4,"[Yellow hello, Yellow small hook, Blue v, Red small hook]"
Difficult,Elephant,3,6,8,2,17,"[Yellow small hook, Blue v, Green flash, Green L]"
Difficult,Elephant,3,7,8,2,1,"[Blue v, Red flash, Green big hook, Green L]"
Difficult,Elephant,3,8,8,2,9,"[Yellow hello, Blue v, Red flash, Green L]"
Difficult,Elephant,3,9,8,2,2,"[Blue v, Red small hook, Red flash, Green flash]"
Difficult,Elephant,3,10,8,2,1,"[Yellow big hook, Blue v, Red small hook, Red flash]"
Difficult,Elephant,4,1,8,2,10,"[Blue v, Red small hook, Green big hook, Green L]"
Difficult,Elephant,4,2,8,2,2,"[Blue big hook, Blue v, Red small hook, Red flash]"
Difficult,Elephant,4,3,8,2,4,"[Blue v, Red flash, Green big hook, Green L]"
Difficult,Elephant,4,4,8,2,2,"[Yellow big hook, Blue v, Red small hook, Green T]"
Difficult,Elephant,4,5,8,2,8,"[Yellow small hook, Blue v, Green big hook, Green L]"
Difficult,Elephant,4,6,8,2,2,"[Yellow big hook, Blue v, Green T, Green L]"
Difficult,Elephant,4,7,8,2,18,"[Yellow small hook, Blue lighter, Blue v, Red small hook]"
Difficult,Elephant,4,8,8,2,4,"[Blue v, Green flash, Green T, Green L]"
Difficult,Elephant,4,9,8,2,2,"[Yellow hello, Yellow small hook, Blue v, Red small hook]"
Difficult,Elephant,4,10,8,2,1,"[Blue flash, Blue v, Red small hook, Green T]"
Difficult,Gazelle,5,1,8,2,6,"[Yellow hello, Blue v, Red small hook, Green L]"
Difficult,Gazelle,5,2,8,2,5,"[Yellow hello, Blue v, Red small hook, Red flash]"
Difficult,Gazelle,5,3,8,2,3,"[Blue v, Green flash, Green T, Green L]"
Difficult,Gazelle,5,4,8,2,1,"[Yellow big hook, Blue v, Red flash, Green L]"
Difficult,Gazelle,5,5,8,2,2,"[Blue big hook, Blue v, Red small hook, Green L]"
Difficult,Gazelle,5,6,8,2,3,"[Yellow small hook, Blue big hook, Blue v, Red flash]"
Difficult,Gazelle,5,7,8,2,2,"[Blue v, Red small hook, Green big hook, Green L]"
Difficult,Gazelle,5,8,8,2,1,"[Yellow small hook, Blue v, Green flash, Green L]"
Difficult,Gazelle,5,9,8,2,7,"[Yellow small hook, Blue lighter, Blue v, Green L]"
Difficult,Gazelle,5,10,8,2,2,"[Blue v, Red small hook, Green big hook, Green T]"
Difficult,Gazelle,6,1,8,2,2,"[Blue v, Red stool, Red small hook, Red flash]"
Difficult,Gazelle,6,2,8,2,1,"[Yellow small hook, Blue v, Red flash, Green big hook]"
Difficult,Gazelle,6,3,8,2,5,"[Yellow hello, Yellow small hook, Blue v, Red small hook]"
Difficult,Gazelle,6,4,8,2,7,"[Blue flash, Blue v, Red small hook, Green L]"
Difficult,Gazelle,6,5,8,2,5,"[Yellow small hook, Blue flash, Blue v, Green L]"
Difficult,Gazelle,6,6,8,2,2,"[Yellow hello, Blue v, Red small hook, Red flash]"
Difficult,Gazelle,6,7,8,2,16,"[Blue lighter, Blue v, Green T, Green L]"
Difficult,Gazelle,6,8,8,2,7,"[Blue v, Green flash, Green T, Green L]"
Difficult,Gazelle,6,9,8,2,6,"[Yellow small hook, Blue v, Red small hook, Green big hook]"
Difficult,Gazelle,6,10,8,2,2,"[Blue v, Red flash, Green big hook, Green L]"
Difficult,Gazelle,7,1,8,2,1,"[Blue v, Red small hook, Green flash, Green T]"
Difficult,Gazelle,7,2,8,2,2,"[Blue big hook, Blue v, Red small hook, Green L]"
Difficult,Gazelle,7,3,8,2,4,"[Yellow big hook, Blue v, Red small hook, Green L]"
Difficult,Gazelle,7,4,8,2,2,"[Yellow small hook, Blue flash, Blue v, Green L]"
Difficult,Gazelle,7,5,8,2,1,"[Yellow big hook, Yellow small hook, Blue v, Red small hook]"
Difficult,Gazelle,7,6,8,2,2,"[Yellow small hook, Blue flash, Blue v, Green T]"
Difficult,Gazelle,7,7,8,2,1,"[Yellow big hook, Yellow small hook, Blue v, Red flash]"
Difficult,Gazelle,7,8,8,2,3,"[Yellow small hook, Blue v, Green big hook, Green L]"
Difficult,Gazelle,7,9,8,2,6,"[Blue v, Red small hook, Green flash, Green L]"
Difficult,Gazelle,7,10,8,2,1,"[Blue big hook, Blue v, Red small hook, Green T]"
Difficult,Gazelle,8,1,8,2,8,"[Yellow small hook, Blue v, Red stool, Green L]"
Difficult,Gazelle,8,2,8,2,4,"[Yellow small hook, Blue flash, Blue v, Green L]"
Difficult,Gazelle,8,3,8,2,2,"[Blue v, Red small hook, Red flash, Green big hook]"
Difficult,Gazelle,8,4,8,2,1,"[Blue v, Red stool, Red small hook, Red flash]"
Difficult,Gazelle,8,5,8,2,2,"[Blue v, Red small hook, Green big hook, Green L]"
Difficult,Gazelle,8,6,8,2,1,"[Yellow big hook, Blue v, Red small hook, Green T]"
Difficult,Gazelle,8,7,8,2,4,"[Yellow small hook, Blue v, Red big hook, Green L]"
Difficult,Gazelle,8,8,8,2,9,"[Yellow hello, Blue v, Red small hook, Green L]"
Difficult,Gazelle,8,9,8,2,4,"[Yellow big hook, Blue v, Red small hook, Green L]"
Difficult,Gazelle,8,10,8,2,4,"[Yellow small hook, Blue big hook, Blue v, Green L]"
Difficult,Snake,9,1,8,2,2,"[Yellow big hook, Blue v, Green T, Green L]"
Difficult,Snake,9,2,8,2,4,"[Blue lighter, Blue v, Red small hook, Green L]"
Difficult,Snake,9,3,8,2,4,"[Yellow small hook, Blue lighter, Blue v, Red small hook]"
Difficult,Snake,9,4,8,2,1,"[Yellow big hook, Blue v, Red flash, Green T]"
Difficult,Snake,9,5,8,2,4,"[Yellow small hook, Blue lighter, Blue v, Green L]"
Difficult,Snake,9,6,9,2,2,"[Blue big hook, Blue lighter, Blue v, Green flash]"
Difficult,Snake,9,7,9,2,3,"[Yellow small hook, Red stool, Red big hook, Green L]"
Difficult,Snake,9,8,9,2,3,"[Blue lighter, Blue v, Red big hook, Green big hook]"
Difficult,Snake,9,9,9,2,3,"[Yellow small hook, Blue flash, Blue lighter, Red small hook]"
Difficult,Snake,9,10,9,2,3,"[Yellow small hook, Blue big hook, Blue lighter, Green L]"
Difficult,Snake,10,1,8,2,1,"[Yellow small hook, Blue lighter, Blue v, Green L]"
Difficult,Snake,10,2,8,2,4,"[Blue lighter, Blue v, Red small hook, Red flash]"
Difficult,Snake,10,3,8,2,1,"[Blue v, Red flash, Green flash, Green T]"
Difficult,Snake,10,4,8,2,3,"[Blue v, Red small hook, Red flash, Green flash]"
Difficult,Snake,10,5,8,2,8,"[Yellow small hook, Blue v, Green flash, Green L]"
Difficult,Snake,10,6,9,2,1,"[Yellow big hook, Yellow small hook, Blue flash, Green L]"
Difficult,Snake,10,7,9,2,11,"[Blue lighter, Blue v, Red stool, Green flash]"
Difficult,Snake,10,8,9,2,2,"[Yellow small hook, Blue big hook, Blue flash, Green L]"
Difficult,Snake,10,9,9,2,1,"[Yellow big hook, Blue big hook, Red flash, Green L]"
Difficult,Snake,10,10,9,2,2,"[Blue lighter, Blue v, Red big hook, Green flash]"
Difficult,Snake,11,1,8,2,6,"[Blue v, Red stool, Red small hook, Green L]"
Difficult,Snake,11,2,8,2,1,"[Blue big hook, Blue v, Red flash, Green L]"
Difficult,Snake,11,3,8,2,3,"[Blue lighter, Blue v, Red small hook, Green L]"
Difficult,Snake,11,4,8,2,4,"[Yellow small hook, Blue v, Green big hook, Green L]"
Difficult,Snake,11,5,8,2,1,"[Yellow gate, Blue v, Red small hook, Green L]"
Difficult,Snake,11,6,9,2,3,"[Yellow hello, Blue lighter, Red small hook, Red flash]"
Difficult,Snake,11,7,9,2,1,"[Yellow hello, Yellow gate, Red small hook, Red flash]"
Difficult,Snake,11,8,9,2,2,"[Yellow small hook, Blue big hook, Blue lighter, Red small hook]"
Difficult,Snake,11,9,9,2,1,"[Yellow gate, Blue big hook, Green T, Green L]"
Difficult,Snake,11,10,9,2,3,"[Red small hook, Red big hook, Green flash, Green L]"
Difficult,Snake,12,1,8,2,6,"[Blue v, Red stool, Red flash, Green L]"
Difficult,Snake,12,2,8,2,3,"[Yellow small hook, Blue v, Red stool, Green T]"
Difficult,Snake,12,3,8,2,5,"[Yellow small hook, Blue v, Red stool, Green L]"
Difficult,Snake,12,4,8,2,1,"[Blue v, Red small hook, Red big hook, Green T]"
Difficult,Snake,12,5,8,2,1,"[Yellow small hook, Blue flash, Blue v, Green L]"
Difficult,Snake,12,6,9,2,1,"[Yellow small hook, Red stool, Green big hook, Green L]"
Difficult,Snake,12,7,9,2,1,"[Yellow hello, Yellow gate, Blue flash, Blue v]"
Difficult,Snake,12,8,9,2,1,"[Blue flash, Red small hook, Green flash, Green L]"
Difficult,Snake,12,9,9,2,1,"[Yellow big hook, Red stool, Red small hook, Red flash]"
Difficult,Snake,12,10,9,2,2,"[Yellow small hook, Red stool, Red small hook, Green big hook]"
Difficult,Gnu,13,1,9,2,2,"[Yellow big hook, Yellow small hook, Blue big hook, Red small hook]"
Difficult,Gnu,13,2,9,2,2,"[Yellow small hook, Yellow gate, Red big hook, Red flash]"
Difficult,Gnu,13,3,9,2,4,"[Yellow small hook, Blue big hook, Green flash, Green L]"
Difficult,Gnu,13,4,9,2,4,"[Yellow hello, Yellow big hook, Yellow gate, Blue v]"
Difficult,Gnu,13,5,9,2,4,"[Yellow hello, Blue v, Red stool, Red big hook]"
Difficult,Gnu,13,6,9,2,2,"[Yellow small hook, Blue big hook, Red big hook, Green L]"
Difficult,Gnu,13,7,9,2,2,"[Blue big hook, Red stool, Red small hook, Green T]"
Difficult,Gnu,13,8,9,2,3,"[Blue flash, Blue lighter, Red small hook, Green L]"
Difficult,Gnu,13,9,9,2,3,"[Yellow gate, Blue big hook, Blue v, Red stool]"
Difficult,Gnu,13,10,9,2,4,"[Yellow hello, Red stool, Red small hook, Red flash]"
Difficult,Gnu,14,1,9,2,8,"[Yellow hello, Yellow small hook, Blue lighter, Green L]"
Difficult,Gnu,14,2,9,2,2,"[Yellow big hook, Yellow gate, Red small hook, Red flash]"
Difficult,Gnu,14,3,9,2,2,"[Blue lighter, Red small hook, Green big hook, Green T]"
Difficult,Gnu,14,4,9,2,2,"[Yellow hello, Blue lighter, Red flash, Green L]"
Difficult,Gnu,14,5,9,2,2,"[Yellow small hook, Blue flash, Green flash, Green L]"
Difficult,Gnu,14,6,9,2,1,"[Yellow big hook, Red small hook, Green big hook, Green L]"
Difficult,Gnu,14,7,9,2,6,"[Yellow small hook, Red stool, Red small hook, Green flash]"
Difficult,Gnu,14,8,9,2,1,"[Yellow small hook, Blue big hook, Blue lighter, Red small hook]"
Difficult,Gnu,14,9,9,2,3,"[Yellow small hook, Yellow gate, Red stool, Green T]"
Difficult,Gnu,14,10,9,2,1,"[Yellow hello, Red small hook, Red flash, Green flash]"
Difficult,Gnu,15,1,9,2,2,"[Yellow hello, Blue lighter, Blue v, Green big hook]"
Difficult,Gnu,15,2,9,2,4,"[Yellow hello, Yellow small hook, Blue lighter, Red small hook]"
Difficult,Gnu,15,3,9,2,2,"[Yellow gate, Blue flash, Red small hook, Green L]"
Difficult,Gnu,15,4,9,2,2,"[Blue big hook, Blue lighter, Green T, Green L]"
Difficult,Gnu,15,5,9,2,2,"[Yellow small hook, Red stool, Red small hook, Green big hook]"
Difficult,Gnu,15,6,9,2,15,"[Red stool, Red small hook, Green big hook, Green L]"
Difficult,Gnu,15,7,9,2,14,"[Blue lighter, Red stool, Red small hook, Green L]"
Difficult,Gnu,15,8,9,2,3,"[Blue flash, Red stool, Red flash, Green L]"
Difficult,Gnu,15,9,9,2,1,"[Red small hook, Red big hook, Green big hook, Green L]"
Difficult,Gnu,15,10,9,2,1,"[Red small hook, Green flash, Green big hook, Green L]"
Difficult,Gnu,16,1,9,2,2,"[Yellow small hook, Blue big hook, Red stool, Green L]"
Difficult,Gnu,16,2,9,2,4,"[Blue lighter, Red stool, Red small hook, Green L]"
Difficult,Gnu,16,3,9,2,4,"[Yellow hello, Blue v, Red stool, Green big hook]"
Difficult,Gnu,16,4,9,2,2,"[Blue big hook, Blue lighter, Red small hook, Green L]"
Difficult,Gnu,16,5,9,2,4,"[Yellow hello, Yellow small hook, Red stool, Red flash]"
Difficult,Gnu,16,6,9,2,4,"[Yellow small hook, Red big hook, Green flash, Green L]"
Difficult,Gnu,16,7,9,2,2,"[Blue lighter, Green flash, Green T, Green L]"
Difficult,Gnu,16,8,9,2,1,"[Yellow small hook, Green flash, Green big hook, Green L]"
Difficult,Gnu,16,9,9,2,1,"[Yellow big hook, Blue lighter, Red small hook, Green L]"
Difficult,Gnu,16,10,9,2,2,"[Blue big hook, Blue v, Red stool, Green big hook]"
Difficult,Ostrich,17,1,9,2,4,"[Blue big hook, Blue lighter, Blue v, Green big hook]"
Difficult,Ostrich,17,2,9,2,4,"[Yellow small hook, Red stool, Green big hook, Green L]"
Difficult,Ostrich,17,3,9,2,1,"[Red stool, Green big hook, Green T, Green L]"
Difficult,Ostrich,17,4,9,2,4,"[Yellow gate, Blue v, Green flash, Green big hook]"
Difficult,Ostrich,17,5,9,2,2,"[Yellow small hook, Red big hook, Green flash, Green L]"
Difficult,Ostrich,17,6,9,2,5,"[Yellow hello, Yellow small hook, Blue lighter, Green L]"
Difficult,Ostrich,17,7,9,2,1,"[Yellow small hook, Blue big hook, Green flash, Green L]"
Difficult,Ostrich,17,8,9,2,1,"[Yellow big hook, Yellow small hook, Blue lighter, Green T]"
Difficult,Ostrich,17,9,9,2,2,"[Blue flash, Red small hook, Red big hook, Green L]"
Difficult,Ostrich,17,10,9,2,1,"[Yellow small hook, Blue lighter, Green flash, Green L]"
